log.fc	test.stat	p.value	q.value	probe.id	gene.id
-7.5751672842258	-47.8309577050339	5.94580975161879e-11	2.95344586207683e-08	1776778_at	YMR081C
-3.9278707391017	-47.2455746522241	6.54636327655379e-11	3.01661380736863e-08	1779019_at	YHL024W
-3.47555120028918	-46.9344288731605	6.89321724006515e-11	3.01661380736863e-08	1772813_at	YOL155C
-5.43924560477533	-46.9275541876432	6.90111138215737e-11	3.01661380736863e-08	1777569_at	YBR072W
-3.55227320891741	-46.3036850959695	7.66181246180587e-11	3.12118533150395e-08	1773061_s_at	YIL169C
-3.88102043904219	-46.2653384001516	7.71156697937468e-11	3.12118533150395e-08	1780148_at	YPL113C
-8.21058603708926	-45.8132744277786	8.32641619786669e-11	3.24968129322454e-08	1770587_at	YLR307C-A
-3.17030670731093	-45.0058855396125	9.56710233373702e-11	3.54009225111125e-08	1775340_at	YDL169C
-4.55580304146547	-44.9155663622068	9.7184084492439e-11	3.54009225111125e-08	1774129_at	YNL195C
-4.84206815672071	-43.8439926985693	1.17355079820543e-10	3.95280376432537e-08	1772229_at	YKL163W
-3.21254611951375	-43.8316118291173	1.17614212739309e-10	3.95280376432537e-08	1776434_at	YBL043W
-2.87106646649821	-43.7487406257082	1.19365413820221e-10	3.95280376432537e-08	1769460_at	YJL185C
-3.17500126946837	-43.4532691844412	1.25852712408441e-10	3.99591557983492e-08	1773457_at	YDL215C
-7.2795602225105	-43.3600811072154	1.27980458724581e-10	3.99591557983492e-08	1774960_at	YJL116C
-5.29749635661641	-42.9743162723991	1.37230563433906e-10	4.15503155333092e-08	1779660_at	YLR174W
4.00099276816099	42.837868864378	1.40680973163657e-10	4.15503155333092e-08	1770682_at	YDR345C
-8.22551056017656	-42.331222476401	1.54376113861621e-10	4.43953203231525e-08	1773702_at	YMR118C
-3.46865465221607	-42.0534077822342	1.62519928556868e-10	4.55389174171653e-08	1771645_at	YPR151C
-5.29242133181669	-41.4423977896585	1.82192097970046e-10	4.89526811755881e-08	1772915_at	YAL054C
-3.12184617856738	-41.3997567306804	1.8366214569904e-10	4.89526811755881e-08	1776366_at	YPL147W
-5.97683875680646	-41.113286618129	1.93891921822362e-10	5.04488314684471e-08	1772361_at	YHR126C
-6.32443091879525	-40.4504707440055	2.20117583291453e-10	5.52070453307447e-08	1776759_at	YKL107W
-7.9259891058403	-40.3452421414419	2.24638334040807e-10	5.52070453307447e-08	1769342_at	YIL160C
-4.86804761152393	-40.2836022516162	2.27335014630629e-10	5.52070453307447e-08	1770073_s_at	YMR322C
-3.22126588126931	-40.0006259690611	2.40192420973788e-10	5.62675110838503e-08	1769845_at	YHL032C
-4.95340668385717	-39.9622214009861	2.41999727392109e-10	5.62675110838503e-08	1775479_at	YHR137W
-2.62933191699818	-39.6653198663921	2.56500697482442e-10	5.70312899749879e-08	1776402_at	YMR181C
-3.00224740685728	-39.5937300057279	2.6014211980491e-10	5.70312899749879e-08	1777268_at	YJR019C
3.16299158471294	39.5337461402847	2.63238099360069e-10	5.70312899749879e-08	1777697_at	YGL157W
-3.70871693207383	-39.4030246363119	2.701300185258e-10	5.70312899749879e-08	1775439_at	YBR026C
-5.88168021461841	-39.3797417350147	2.71378759031787e-10	5.70312899749879e-08	1779057_at	YPL186C
-3.5143300928484	-39.116424003217	2.85963658230012e-10	5.89624690025958e-08	1774778_at	YOR100C
-5.12716206774849	-38.738190069135	3.08485334581384e-10	6.24282914130623e-08	1773961_at	YGR256W
-3.45268021500058	-38.259419145049	3.39914136281549e-10	6.75378487506322e-08	1780070_at	YBR046C
-4.19397341185924	-37.8615960202366	3.68790063540612e-10	7.09631789399107e-08	1775873_at	YNL009W
3.60302446878714	37.8438512691357	3.70141032171936e-10	7.09631789399107e-08	1777122_at	YOL014W
