""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YFL003C"	0	0	0	1	2	2
"YHR086W"	3	3	3	7	4	5
"YOL120C"	102	133	117	30	45	58
"YML079W"	2	6	9	4	9	14
"YOR125C"	0	2	1	2	0	0
"YLR065C"	7	2	11	0	6	2
"YNL298W"	5	10	10	4	3	4
"YPL134C"	4	7	1	13	17	24
"YER078C"	6	6	4	1	4	1
"YGL225W"	37	44	33	3	7	15
"YLR129W"	24	31	15	5	7	9
"YNL224C"	5	9	4	4	3	7
"YNL122C"	0	8	1	2	3	2
"YGL066W"	3	4	3	8	7	6
"YCL067C"	2	5	1	3	1	4
"YNL217W"	6	7	5	1	5	2
"YGL063W"	3	2	2	1	1	3
"YML030W"	3	5	13	6	8	8
"YPL152W-A"	0	0	0	0	0	0
"YAL039C"	6	5	8	5	1	8
"YOR261C"	19	29	21	24	25	35
"YLR191W"	6	6	2	5	4	6
"YMR316W"	5	1	0	0	0	3
"YCR027C"	4	0	3	1	2	0
"YDL046W"	12	22	9	16	17	23
"YER125W"	25	23	23	15	19	22
"YMR263W"	2	2	1	1	2	5
"YOL113W"	7	4	5	7	9	5
"YAL001C"	15	19	12	8	17	16
"YDR517W"	10	11	9	5	6	17
"YBR197C"	4	4	2	3	0	2
"YDR192C"	2	5	2	1	2	4
"YJR132W"	15	17	16	12	4	11
"YER021W"	34	35	30	33	33	49
"YGL034C"	0	0	0	0	0	0
"YKL014C"	21	31	17	9	13	7
"YDL106C"	3	11	2	3	11	6
"YGR197C"	4	5	4	5	5	6
"YDR365C"	22	37	15	37	34	37
"YNL280C"	11	15	18	4	13	10
"YCR030C"	12	16	10	12	10	16
"YDL154W"	3	0	4	1	4	4
"YDR505C"	11	5	8	9	14	25
"YGL033W"	0	0	0	1	0	1
"YMR211W"	7	5	4	2	6	5
"YBR221W-A"	0	0	0	0	0	0
"YBL036C"	9	10	9	4	5	10
"YGL202W"	42	71	42	37	29	27
"YIL176C"	0	0	0	0	0	1
"YOL147C"	8	12	5	15	22	30
"YPR178W"	3	1	2	4	3	6
"YFR007W"	2	3	3	2	5	4
"YEL008W"	0	0	0	0	1	1
"YGR072W"	6	4	4	6	3	4
"YER022W"	6	8	7	5	6	9
"YNL069C"	89	104	108	24	33	50
"YIL118W"	10	10	3	3	5	5
"YJR008W"	4	2	1	17	33	30
"YKL217W"	2	1	0	274	366	460
"YAR060C"	0	0	0	0	0	0
"YCL010C"	9	8	5	8	2	4
"YNL303W"	0	0	0	0	0	0
"YPL036W"	2	3	0	38	56	50
"YJR024C"	8	12	9	4	2	11
"YBR042C"	8	11	6	6	3	2
"YAL047C"	6	6	1	1	2	3
"YER056C-A"	41	55	35	12	17	18
"YFR011C"	3	7	4	5	4	6
"YDR256C"	2	2	2	48	73	89
"YFL065C"	0	0	0	0	0	0
"YNL287W"	31	33	24	16	22	28
"YAL065C"	0	0	0	0	0	0
"YGR103W"	39	46	30	8	20	27
"YLR061W"	3	6	5	0	1	1
"YLR171W"	0	0	0	0	0	4
"YGR161W-A"	0	0	0	0	0	0
"YOR281C"	11	14	5	3	6	5
"YBR162C"	66	77	62	40	32	47
"YJL078C"	14	32	25	17	13	17
"YMR114C"	1	4	2	8	13	14
"YJL152W"	0	0	0	2	2	3
"YGR251W"	3	2	5	0	3	6
"YJL067W"	0	0	0	0	0	1
"YBR094W"	6	2	9	7	8	17
"YDR118W-A"	0	0	0	0	0	0
"YGR065C"	12	30	13	21	15	22
"YGR031C-A"	0	0	0	0	0	0
"YEL017C-A"	10	5	3	3	4	3
"YGL251C"	2	2	3	5	3	4
"YOR260W"	15	21	22	7	3	11
"YKL021C"	16	13	15	7	4	12
"YKR028W"	14	32	20	13	10	11
"YOR374W"	15	6	2	494	557	740
"YHL026C"	1	0	2	0	3	1
"YNR062C"	0	0	0	1	2	1
"YHR014W"	1	1	0	0	0	0
"YCR028C"	6	3	5	5	6	3
"YDL015C"	22	24	18	18	10	18
"YJL102W"	7	7	9	11	10	18
"YCR016W"	7	6	6	0	1	5
"YER058W"	8	1	6	0	2	3
"YER149C"	1	3	3	4	1	3
"YJL147C"	4	0	2	8	1	6
"YDL035C"	11	12	7	10	4	9
"YDR533C"	14	9	4	5	10	15
"YGL222C"	0	1	3	0	2	1
"YDL090C"	3	3	4	4	3	4
"YBR177C"	23	32	22	13	12	18
"YJL034W"	92	107	92	50	64	75
"YML012C-A"	0	0	0	0	0	0
"YNR059W"	1	4	2	0	3	8
"YOR034C-A"	0	0	0	0	0	0
"YGR156W"	5	1	5	1	3	6
"YLR066W"	13	9	5	6	7	5
"YBR125C"	7	7	6	4	4	5
"YOR376W"	0	0	0	0	1	0
"YBR173C"	14	9	6	6	14	10
"YCL023C"	0	1	0	0	0	0
"YHR057C"	12	11	0	9	13	14
